,Company Name,Year of Breach,Date Made Public,Data Loss,Total Records
102,Teracod,2016-05-28,2016-08-22T11:21:27Z,,97151
103,Tesco,2014-02-12,2014-02-13T21:19:24Z,,2239
104,TheFappening,2015-12-01,2016-04-13T01:08:20Z,,179030
105,ThisHabboForum,2014-01-01,2015-03-28T05:35:28Z,Email addressesIP addressesPasswordsUsernames,27978
106,Tianya,2011-12-26,2016-06-30T03:39:05Z,,29020808
107,Trillian,2015-12-27,2016-07-15T11:14:44Z,,3827238
108,TruckersMP,2016-02-25,2016-04-24T21:27:05Z,,83957
109,Tumblr,2013-02-28,2016-05-29T22:59:04Z,,65469298
110,Uiggy,2016-06-01,2016-06-27T08:07:18Z,,2682650
111,IGF,2014-02-20,2014-02-23T04:32:08Z,Email addressesNamesPasswordsUsernames,3200
112,VBulletin,2015-11-03,2016-01-24T13:15:11Z,,518966
113,Verified,2014-01-10,2014-07-06T04:16:37Z,,16919
114,VK,2012-01-01,2016-06-09T09:16:36Z,,93338602
115,Vodafone,2013-12-12,2013-11-30T00:00:00Z,Credit cardsEmail addressesGovernment issued IDsIP addresses,56021
116,VTech,2015-11-13,2015-11-25T07:00:57Z,Dates of birthEmail addressesFamily members' namesGenders,4833678
117,Warframe,2014-11-24,2016-07-21T02:25:49Z,,819478
118,WHMCS,2012-05-21,2016-06-28T23:47:07Z,,134047
119,WildStar,2015-07-11,2016-03-06T21:41:16Z,,738556
120,Win7Vista,2013-09-03,2014-06-01T10:01:32Z,,202683
121,WPT,2014-01-04,2014-02-01T02:57:21Z,,148366
122,xat,2015-11-04,2016-08-05T06:53:35Z,,5968783
123,Xbox-Scene,2015-02-01,2016-02-07T20:26:56Z,,432552
124,XSplit,2013-11-07,2015-08-08T04:28:48Z,,2983472
125,Yahoo,2012-07-11,2013-12-04T00:00:00Z,,453427
126,Yandex,2014-09-07,2014-09-12T04:50:32Z,,1186564
127,YouPorn,2012-02-21,2015-07-30T05:32:00Z,,1327567
128,SprashivaiRu,2015-05-11,2015-05-12T23:50:08Z,,3474763
