Year of Breach,Company Name,Total Records,Type of Organization,Type of Breach
2013,Living Social,50000000,BSR,HACK
2013,Kirkwood Community College,125000,EDU,HACK
2014,eBay,145000000,BSR,HACK
2014,LexisNexis,1000000,tech,HACK
2014,Home Depot,56000000,BSR,HACK
2014,Domino's Pizza (France),600000,BSR,HACK
2014,Benesse,35040000,educational services,HACK
2014,New York Taxis,52000,transport,HACK
2014,Neiman Marcus,1100000,BSR,HACK
2014,Community Health Systems,4500000,MED,HACK
2014,Mozilla,76000,BSR,HACK
2014,JP Morgan Chase,76000000,BSF,HACK
2014,Uber,50000,tech,HACK
2014,AOL,2400000,BSR,HACK
2014,"University of Maryland, College Park",300000,EDU,HACK
2014,Michaels,3000000,BSR,HACK
2014,Korea Credit Bureau,20000000,BSF,INSD
2014,Gmail,5000000,BSR,HACK
2014,Yahoo,500000000,BSR,HACK
2014,MacRumors.com,860000,BSR,HACK
2014 and 2015,Hilton Hotels,363000,hotel,HACK
2015,Premera,11000000,MED,HACK
2015,US Office of Personnel Management,21500000,GOV,HACK
2015,"UCLA Medical Center, Santa Monica",4500000,MED,HACK
2015,CareFirst BlueCross Blue Shield - Maryland,1100000,MED,HACK
2015,Medical Informatics Engineering,3900000,MED,HACK
2015,Xat.com,6054459,BSR,PHYS
2015,"Sakai City, Japan",680000,GOV,INSD
2015,Slack,500000,tech,HACK
2015,Patreon,2300000,BSR,HACK
2015,Bailey's Inc.,250000,BSR,HACK
2015,Scottrade,4600000,BSF,HACK
2015,Walmart,1300000,BSR,HACK
2015,VTech,5000000,BSR,HACK
2015,Experian - T-Mobile US,15000000,telecoms,HACK
2015,Ashley Madison,32000000,BSR,HACK
2015,Japan Pension Service,1250000,special public corporation,HACK
2015,Excellus BlueCross BlueShield,10000000,MED,HACK
2015,Internal Revenue Service,720000,BSF,HACK
2016,University of Central Florida,63000,EDU,HACK
2016,"University of California, Berkeley",80000,EDU,HACK
2016,Verizon Communications,1500000,telecoms,HACK
2016,KM.RU,1500000,BSR,HACK
2016,Weebly,43430316,BSR,HACK
2016,Inuvik hospital,6700,MED,INSD
2016,US Department of Homeland Security,30000,GOV,HACK
2016,Funimation,2500000,BSR,HACK
2016,Friend Finder Networks,412214295,BSR,HACK
2016,Nival Networks,1500000,gaming,HACK
2016,Nippon Television,430000,media,HACK
2016,Central Coast Credit Union,60000,BSF,HACK
2016,Cox Communications,40000,telecoms,HACK
2016,Philippines Commission on Elections,55000000,GOV,HACK
2016,21st Century Oncology,2200000,MED,HACK
2016,Taobao,20000000,BSR,HACK
2016,TaxSlayer.com,8800,BSR,HACK
2017,Taringa!,28722877,BSR,HACK
2017,Advocate Medical Group,4000000,MED,STAT
2017,Grozio Chirurgija,25000,MED,HACK
2017,Equifax,163119000,"BSF, credit reporting",HACK
2017,Bell Canada,1900000,telecoms,HACK
2017,Uber,57000000,transport,HACK
2018,Blank Media Games,7633234,gaming,HACK
2018,Popsugar,123857,fashion,HACK
2018,Quora,100000000,Question & Answer,HACK
2018,Orbitz,880000,BSR,HACK
2018,Ticketfly (subsidiary of Eventbrite),26151608,ticket distribution,HACK
2018,Google Plus,500000,social network,HACK
2018,2018 British Airways cyberattack,500000,transport,HACK
2018,Facebook,50000000,social network,HACK
2018,Marriott International,500000000,hotel,HACK
2018,Bell Canada,100000,telecoms,HACK
2018,AerServ (subsidiary of InMobi),75000,advertising,HACK
2018,Cathay Pacific Airways,9400000,transport,HACK
2018,SingHealth,1500000,"GOV, database",HACK
2018,BMO and Simplii,90000,banking,HACK
2018,Air Canada,20000,transport,HACK
2018,Centers for Medicare & Medicaid Services,75000,MED,HACK
2018,United States Postal Service,60000000,GOV,HACK
2018,HauteLook,28517244,BSR,HACK
2018,Under Armour,150000000,Consumer Goods,HACK
2018,MyHeritage,92283889,genealogy,UNKN
2018,Exactis,340000000,data broker,HACK
