Date,NASDAQ,WBA
2017-06-27,70.68,77.26
2017-06-28,71.63,77.09
2017-06-29,71.54,78.37
2017-06-30,71.49,78.31
2017-07-03,71.65,78.13
2017-07-05,71.68,78.64
2017-07-06,71.26,77.72
2017-07-07,71.63,77.47
2017-07-10,71.34,77.16
2017-07-11,71.2,77.29
2017-07-12,71.33,77.52
2017-07-13,71.54,78.01
2017-07-14,71.06,78.91
2017-07-17,71.49,79.18
2017-07-18,71.7,78.67
2017-07-19,71.81,79.56
2017-07-20,72.02,79.8
2017-07-21,72.74,78.9
2017-07-24,72.64,79.6
2017-07-25,72.74,80.06
2017-07-26,74.45,78.68
2017-07-27,74.33,78.78
2017-07-28,74.37,79.62
2017-07-31,74.37,80.67
2017-08-01,74.78,81.13
2017-08-02,74.67,81.03
2017-08-03,75.09,81.05
2017-08-04,75.11,81.06
2017-08-07,75.01,81.51
2017-08-08,75.25,81.08
2017-08-09,76.25,81.28
2017-08-10,75.92,79.75
2017-08-11,75.5,80.72
2017-08-14,76.8,81.53
2017-08-15,77.0,81.13
2017-08-16,77.12,81.26
2017-08-17,76.28,80.89
2017-08-18,74.91,80.03
2017-08-21,75.29,80.6
2017-08-22,76.44,81.28
2017-08-23,75.69,81.36
2017-08-24,74.94,80.5
2017-08-25,75.75,81.13
2017-08-28,75.63,81.16
