Date,NASDAQ,WBA
2013-01-22,27.5,39.49
2013-01-23,27.38,39.52
2013-01-24,27.51,39.44
2013-01-25,27.7,39.67
2013-01-28,27.78,40.1
2013-01-29,27.9,40.06
2013-01-30,27.97,39.87
2013-01-31,28.32,39.96
2013-02-01,28.64,40.31
2013-02-04,28.36,40.01
2013-02-05,28.81,41.33
2013-02-06,29.0,41.44
2013-02-07,29.26,41.31
2013-02-08,29.47,41.4
2013-02-11,30.38,41.48
2013-02-12,30.55,41.95
2013-02-13,31.65,41.48
2013-02-14,30.6,41.86
2013-02-15,31.07,41.15
2013-02-19,31.49,41.7
2013-02-20,31.05,41.6
2013-02-21,30.98,41.62
2013-02-22,31.36,41.81
2013-02-25,30.83,40.64
2013-02-26,31.45,40.8
2013-02-27,31.79,41.17
2013-02-28,31.66,40.94
2013-03-01,31.58,41.32
2013-03-04,32.03,41.77
2013-03-05,32.45,40.72
2013-03-06,32.23,39.96
2013-03-07,32.0,40.13
2013-03-08,32.03,40.64
2013-03-11,32.31,41.28
2013-03-12,32.1,41.04
2013-03-13,32.12,42.78
2013-03-14,32.6,42.72
2013-03-15,32.57,42.58
2013-03-18,32.31,42.43
2013-03-19,31.99,44.74
2013-03-20,31.94,46.02
2013-03-21,32.04,45.81
2013-03-22,32.36,46.49
