Date,Close
1/4/2008,44.64
1/11/2008,46.1
1/18/2008,37.45
1/25/2008,42.98
2/1/2008,45.83
2/8/2008,40.77
2/15/2008,41.47
2/22/2008,40.4
2/29/2008,41.51
3/7/2008,37.79
3/14/2008,38.63
3/20/2008,39.68
3/28/2008,38.79
4/4/2008,40.86
4/11/2008,38.15
4/18/2008,40.61
4/25/2008,36.85
5/2/2008,38.21
5/9/2008,38.31
5/16/2008,37.5
5/23/2008,33.62
5/30/2008,35.03
6/6/2008,32.46
6/13/2008,32.3
6/20/2008,30.31
6/27/2008,28.28
7/3/2008,24.94
7/11/2008,24.33
7/18/2008,27.49
7/25/2008,28.84
8/1/2008,27.2
8/8/2008,33.73
8/15/2008,34.38
8/22/2008,31.88
8/29/2008,32.69
9/5/2008,32.22
9/12/2008,31.25
9/19/2008,38.8
9/26/2008,32.6
10/3/2008,31.42
10/10/2008,25.87
10/17/2008,30.99
10/24/2008,28.49
10/31/2008,32.46
11/7/2008,27.34
11/14/2008,21.9
11/21/2008,16.84
11/28/2008,21.5
12/5/2008,23.35
12/12/2008,24.67
12/19/2008,24.54
12/26/2008,23.28
1/2/2009,26.13
1/9/2009,22
1/16/2009,21.17
1/23/2009,21.98
1/30/2009,21.82
2/6/2009,24.9
2/13/2009,21.39
2/20/2009,20.7
2/27/2009,20.9
3/6/2009,19.29
3/13/2009,22.27
3/20/2009,21.1
3/27/2009,19.8
4/3/2009,21.31
4/9/2009,21.99
4/17/2009,19.8
4/24/2009,19.1
5/1/2009,19.36
5/8/2009,20.38
5/15/2009,17.88
5/22/2009,19.39
5/29/2009,21.11
6/5/2009,22
6/12/2009,21.75
6/19/2009,21.17
6/26/2009,21.15
7/2/2009,20.46
7/10/2009,18.92
7/17/2009,20.06
7/24/2009,20.34
7/31/2009,21.13
8/7/2009,22.87
8/14/2009,21.25
8/21/2009,20.84
8/28/2009,21.34
9/4/2009,20.82
9/11/2009,20.87
9/18/2009,22.62
9/25/2009,21.29
10/2/2009,19.75
10/9/2009,20.4
10/16/2009,19.71
10/23/2009,19.85
10/30/2009,18.06
11/6/2009,18.46
11/13/2009,18.92
11/20/2009,18.97
11/27/2009,18.78
12/4/2009,20.02
12/11/2009,19.66
12/18/2009,20
12/24/2009,20.46
12/31/2009,19.82
1/8/2010,20.23
1/15/2010,20.16
1/22/2010,18.34
1/29/2010,17.99
2/5/2010,18.8
2/12/2010,18.29
2/19/2010,18.63
2/26/2010,18.63
3/5/2010,20.03
3/12/2010,20.3
3/19/2010,21.03
3/26/2010,21.05
4/1/2010,21.15
4/9/2010,21.91
4/16/2010,21.4
4/23/2010,22.68
4/30/2010,21
5/7/2010,19.12
5/14/2010,19.64
5/21/2010,18.77
5/28/2010,18.59
6/4/2010,18.43
6/11/2010,19.15
6/18/2010,19.17
6/25/2010,18.89
7/2/2010,17.3
7/9/2010,18.2
7/16/2010,17.61
7/23/2010,18.63
7/30/2010,19.47
8/6/2010,20.21
8/13/2010,19.94
8/20/2010,19.51
8/27/2010,18.54
9/3/2010,19.19
9/10/2010,18.96
9/17/2010,19.43
9/24/2010,20.17
10/1/2010,19.3
10/8/2010,19.88
10/15/2010,19.91
10/22/2010,20.66
10/29/2010,21.11
11/5/2010,22.2
11/12/2010,21.51
11/19/2010,21.96
11/26/2010,21.51
12/3/2010,22.63
12/10/2010,22.84
12/17/2010,23.5
12/23/2010,23.82
12/31/2010,23.73
1/7/2011,23.38
1/14/2011,24.37
1/21/2011,24.3
1/28/2011,24.5
2/4/2011,26.56
2/11/2011,28.12
2/18/2011,29.09
2/25/2011,28.41
3/4/2011,28.02
3/11/2011,27.19
3/18/2011,24.79
3/25/2011,25.3
4/1/2011,28.23
4/8/2011,28.45
4/15/2011,28.21
4/21/2011,27.54
4/29/2011,27.12
5/6/2011,26.59
5/13/2011,26.91
5/20/2011,25.5
5/27/2011,25.37
6/3/2011,24.13
6/10/2011,23.8
6/17/2011,23.77
6/24/2011,23.39
7/1/2011,26.12
7/8/2011,25.37
7/15/2011,23.69
7/22/2011,24.2
7/29/2011,24.07
8/5/2011,22.79
8/12/2011,22.97
8/19/2011,21.2
8/26/2011,22.73
9/2/2011,22.56
9/9/2011,22.26
9/16/2011,25.27
9/23/2011,24.39
9/30/2011,23.14
10/7/2011,24.11
10/14/2011,25.46
10/21/2011,25.11
10/28/2011,25.69
11/4/2011,25.3
11/11/2011,26.51
11/18/2011,25.67
11/25/2011,24.55
12/2/2011,25.9
12/9/2011,25.52
12/16/2011,24.03
12/23/2011,24.69
12/30/2011,24.51
1/6/2012,24.43
1/13/2012,24.8
1/20/2012,25.34
1/27/2012,25.99
2/3/2012,25.07
2/10/2012,26
2/17/2012,26.81
2/24/2012,26.69
3/2/2012,26.11
3/9/2012,26.13
3/16/2012,26.61
3/23/2012,26.64
3/30/2012,25.9
4/5/2012,25.52
4/13/2012,24.57
4/20/2012,25.04
4/27/2012,25.14
5/4/2012,23.67
5/11/2012,23.36
5/18/2012,21.99
5/25/2012,22.06
6/1/2012,21.38
6/8/2012,22.12
6/15/2012,21.48
6/22/2012,21.77
6/29/2012,22.67
7/6/2012,22.22
7/13/2012,22.56
7/20/2012,22.37
7/27/2012,23.25
8/3/2012,22.96
8/10/2012,23.36
8/17/2012,23.59
8/24/2012,22.77
8/31/2012,22.87
9/7/2012,23.73
9/14/2012,24.47
9/21/2012,23.79
9/28/2012,23.29
10/5/2012,23.59
10/12/2012,23.26
10/19/2012,24.27
10/26/2012,23.77
11/2/2012,24.02
11/9/2012,23.59
11/16/2012,22.95
11/23/2012,23.78
11/30/2012,24.23
12/7/2012,23.71
12/14/2012,24.2
12/21/2012,25.49
12/28/2012,24.89
1/4/2013,26.48
1/11/2013,26.58
1/18/2013,27.13
1/25/2013,27.7
2/1/2013,28.64
2/8/2013,29.47
2/15/2013,31.07
2/22/2013,31.36
3/1/2013,31.58
3/8/2013,32.03
3/15/2013,32.57
3/22/2013,32.36
3/28/2013,32.3
4/5/2013,28.76
4/12/2013,29.18
4/19/2013,27.97
4/26/2013,28.91
5/3/2013,30.46
5/10/2013,30.5
5/17/2013,31.26
5/24/2013,30.72
5/31/2013,31.46
6/7/2013,32.88
6/14/2013,32.6
6/21/2013,32.57
6/28/2013,32.79
7/5/2013,33.3
7/12/2013,34.3
7/19/2013,33.89
7/26/2013,32.92
8/2/2013,32.98
8/9/2013,31.91
8/16/2013,30.79
8/23/2013,30.83
8/30/2013,29.86
9/6/2013,30.51
9/13/2013,31.25
9/20/2013,32.08
9/27/2013,32.2
10/4/2013,32.9
10/11/2013,33.17
10/18/2013,34.15
10/25/2013,35.7
11/1/2013,35.3
11/8/2013,35.93
11/15/2013,37.08
11/22/2013,39.61
11/29/2013,39.29
12/6/2013,38.88
12/13/2013,38.55
12/20/2013,39.96
12/27/2013,39.92
1/3/2014,39.78
1/10/2014,39.92
1/17/2014,39.72
1/24/2014,37.6
1/31/2014,38.15
2/7/2014,37.54
2/14/2014,38.72
2/21/2014,38.93
2/28/2014,38.39
3/7/2014,40.79
3/14/2014,39.33
3/21/2014,37.54
3/28/2014,36.72
4/4/2014,36.3
4/11/2014,34.77
4/17/2014,35.01
4/25/2014,36.05
5/2/2014,36.85
5/9/2014,36.37
5/16/2014,36.06
5/23/2014,36.45
5/30/2014,37.9
6/6/2014,37.61
6/13/2014,36.73
6/20/2014,37.78
6/27/2014,38.24
7/3/2014,39.94
7/11/2014,39.11
7/18/2014,40.99
7/25/2014,42.36
8/1/2014,41.97
8/8/2014,41.63
8/15/2014,42.12
8/22/2014,42.77
8/29/2014,43.47
9/5/2014,43.12
9/12/2014,43.86
9/19/2014,43.9
9/26/2014,42.39
10/3/2014,42.74
10/10/2014,41.36
10/17/2014,40.16
10/24/2014,40.88
10/31/2014,43.26
11/7/2014,43.88
11/14/2014,43.78
11/21/2014,44.1
11/28/2014,44.91
12/5/2014,45.68
12/12/2014,46.11
12/19/2014,48.69
12/26/2014,48.7
1/2/2015,47.86
1/9/2015,48.5
1/16/2015,46.29
1/23/2015,46.56
1/30/2015,45.6
2/6/2015,49.24
2/13/2015,49.48
2/20/2015,50.94
2/27/2015,50.16
3/6/2015,50.19
3/13/2015,50.25
3/20/2015,50.44
3/27/2015,49.7
4/2/2015,50.11
4/10/2015,50.58
4/17/2015,48.68
4/24/2015,48.57
5/1/2015,49.05
5/8/2015,50.55
5/15/2015,51.19
5/22/2015,52.62
5/29/2015,51.75
6/5/2015,50.53
6/12/2015,50.74
6/19/2015,50.39
6/26/2015,49.7
7/2/2015,49.13
7/10/2015,50.48
7/17/2015,51.84
7/24/2015,51.89
7/31/2015,51.03
8/7/2015,52.93
8/14/2015,54.26
8/21/2015,51.55
8/28/2015,51.49
9/4/2015,50.3
9/11/2015,51.75
9/18/2015,50.47
9/25/2015,53.48
10/2/2015,52.63
10/9/2015,53.09
10/16/2015,54.97
10/23/2015,58.72
10/30/2015,57.89
11/6/2015,58.24
11/13/2015,56.59
11/20/2015,59.97
11/27/2015,58.87
12/4/2015,58.94
12/11/2015,54.86
12/18/2015,55.93
12/24/2015,57.99
12/31/2015,58.17
1/8/2016,55.81
1/15/2016,56.49
1/22/2016,57.73
1/29/2016,62
2/5/2016,59.4
2/12/2016,61.31
2/19/2016,62.93
2/26/2016,63.85
3/4/2016,64.94
3/11/2016,65.98
3/18/2016,64.51
3/24/2016,64.02
4/1/2016,66.09
4/8/2016,63.65
4/15/2016,64.44
4/22/2016,63.99
4/29/2016,61.71
